カテゴリ,設定項目/配信順,メッセージ・カルーセル表示テキスト,アクション/付与タグ設定
友だち追加時,1通目：ご挨拶と期待感,"【〇〇代表/事務局】です。友だち追加ありがとうございます！
4億から100億へ成長させた「組織のブラックボックス排除」と「プロフェッショナル再現スタンダード」の仕組み化ノウハウを、こちらでお届けしていきます。",-
友だち追加時,2通目：診断のオファー,"さて、今のあなたの店舗・組織にはどんな「伸びしろ」や「脆弱性」があるでしょうか？
それを特定するために、13年の知見を詰め込んだ【組織OS・無料仕組み診断（全5問・約3分）】をご用意しました。",-
友だち追加時,3通目：カルーセル（ボタン）,"以下のボタンをタップして、さっそく診断をスタートしてください👇",カルーセルへ遷移
診断開始（カルーセル）,外観設定,"【画像】診断用バナー画像
【タイトル】無料・仕組み診断スタート
【テキスト】5つの質問から、あなたの組織が抱える課題と、今すぐ打つべき「次の一手」を特定します。",-
診断開始（カルーセル）,選択肢1（ボタン）,診断をスタートする,Q1へ遷移
Q1（カルーセル）,外観設定,"【タイトル】Q1.現在のあなたの役職は？
【テキスト】最も近いものをお選びください。",-
Q1（カルーセル）,選択肢1（ボタン）,代表取締役 / 経営者,タグ追加：「役職_経営者」、Q2へ遷移
Q1（カルーセル）,選択肢2（ボタン）,役員 / マネージャー,タグ追加：「役職_幹部」、Q2へ遷移
Q1（カルーセル）,選択肢3（ボタン）,店長 / 現場責任者,タグ追加：「役職_店長」、Q2へ遷移
Q2（カルーセル）,外観設定,"【タイトル】Q2.現在の店舗数・組織規模は？
【テキスト】直営・FC含めた規模をお答えください。",-
Q2（カルーセル）,選択肢1（ボタン）,1店舗,タグ追加：「規模_1店舗」、Q3へ遷移
Q2（カルーセル）,選択肢2（ボタン）,2〜5店舗,タグ追加：「規模_2_5店舗」、Q3へ遷移
Q2（カルーセル）,選択肢3（ボタン）,6店舗以上,タグ追加：「規模_6店舗以上」、Q3へ遷移
Q3（カルーセル）,外観設定,"【タイトル】Q3.今、最も頭を抱えている「痛み」は？
【テキスト】一番解決したい課題をお選びください。",-
Q3（カルーセル）,選択肢1（ボタン）,自分が現場を離れると質が落ちる,タグ追加：「悩み_自分が現場」、Q4へ遷移
Q3（カルーセル）,選択肢2（ボタン）,採用してもすぐ辞める・育たない,タグ追加：「悩み_採用定着」、Q4へ遷移
Q3（カルーセル）,選択肢3（ボタン）,売上や店舗展開が頭打ちしている,タグ追加：「悩み_展開頭打ち」、Q4へ遷移
Q4（カルーセル）,外観設定,"【タイトル】Q4.業務マニュアルは機能していますか？
【テキスト】現在のマニュアルの「実態」をお答えください。",-
Q4（カルーセル）,選択肢1（ボタン）,ない・社長の頭の中にあるだけ,タグ追加：「マニュアル_なし」、Q5へ遷移
Q4（カルーセル）,選択肢2（ボタン）,あるが形骸化（誰も読んでいない）,タグ追加：「マニュアル_形骸化」、Q5へ遷移
Q4（カルーセル）,選択肢3（ボタン）,チェックリストとして現場で機能中,タグ追加：「マニュアル_機能中」、Q5へ遷移
Q5（カルーセル）,外観設定,"【タイトル】Q5. 1年後、会社をどうしたいですか？
【テキスト】達成したいゴールをお選びください。",-
Q5（カルーセル）,選択肢1（ボタン）,社長が現場を離れ、完全に自走させたい,タグ追加：「目標_自走化」、診断結果判定へ遷移
Q5（カルーセル）,選択肢2（ボタン）,理念に共感して長く働く右腕を育てたい,タグ追加：「目標_右腕育成」、診断結果判定へ遷移
Q5（カルーセル）,選択肢3（ボタン）,多店舗展開を加速させステージを上げたい,タグ追加：「目標_規模拡大」、診断結果判定へ遷移
診断結果判定,A：現場依存タイプ,条件：「悩み_自分が現場」または「目標_自走化」を含む,"【結果】A：現場依存タイプ（自分がいないと回らない）
社長、あなたの能力が高すぎるゆえに組織があなたに依存しています。このままでは休む暇もありません。

▼今すぐ打つべき3つのステップ（23段階より）
【STEP 06：入退店フルロープレ】
属人化を排除し、全体の流れを一つの「型」としてテストします。
【STEP 07：実地伴走（理論→実地）】
社長自らが横につき、即時修正を行うことで「基準」を伝授します。
【STEP 23：インテグリティ・チェック】
現場の嘘を許さず、あなたがいなくても品質が担保されるダブルチェック体制を敷きます。"
診断結果判定,B：人財枯渇タイプ,条件：「悩み_採用定着」または「目標_右腕育成」を含む,"【結果】B：人財枯渇タイプ（採用・定着が課題）
教育への投資が「資産」にならず、穴の空いたバケツに水を注いでいる状態です。

▼今すぐ打つべき3つのステップ（23段階より）
【STEP 01：目標同期面談】
採用直後にキャリアプランと会社の期待値をすり合わせ、退職リスクを未然に防ぎます。
【STEP 05：技術修練（トップ自ら練習台に）】
代表が直接身体を張り、ミリ単位の修正を行うことで「妥協なき標準化」への意識を植え付けます。
【STEP 20：多角フィードバック】
指導する店長と現場スタッフの間の「ズレ」をマネージャーが客観的に修正し、不満による離職を防ぎます。"
診断結果判定,C：天井到達タイプ,条件：「悩み_展開頭打ち」または「目標_規模拡大」を含む,"【結果】C：天井到達タイプ（売上が伸び止まり）
基礎はできていますが、感性やマインドといった「見えない資産」の数値化・言語化がボトルネックになっています。

▼今すぐ打つべき3つのステップ（23段階より）
【STEP 10：ペルソナ別ロープレ】
抽象的な「共感」や「接客」を3パターンの顧客像で数値化・テストします。
【STEP 16：映像解析ロープレ】
録画を用いて表情や言葉の裏を読み取る究極の訓練を行い、単価20万以上のプロカウンセラーを量産します。
【STEP 21：経営者意識インストール】
店長に対して「防衛ライン経営」の視点を叩き込み、拡大期に組織を潰さないリーダーへ成長させます。"
